"ProteinAccession","GN","ProteinDescription","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s4_M_6","b2_s15_M_6","b3_s1_M_6","b3_s15_M_6","b1_s9_M_12","b1_s16_M_12","b2_s14_M_12","b3_s9_M_12","b1_s11_M_18","b2_s3_M_18","b2_s9_M_18","b3_s5_M_18","b1_s15_M_24","b2_s5_M_24","b3_s3_M_24","b3_s6_M_24","b1_s1_M_30","b1_s2_M_30","b2_s13_M_30","b3_s7_M_30","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3","b1_s5_F_6","b2_s11_F_6","b3_s10_F_6","b3_s13_F_6","b1_s6_F_12","b1_s8_F_12","b2_s6_F_12","b3_s4_F_12","b1_s14_F_18","b2_s1_F_18","b2_s4_F_18","b3_s8_F_18","b1_s3_F_24","b2_s12_F_24","b3_s2_F_24","b3_s11_F_24","b1_s7_F_30","b1_s10_F_30","b2_s8_F_30","b3_s12_F_30","b1_s18_IR_IR","b2_s18_IR_IR","b3_s18_IR_IR","b1_s17_Ctr_Ctr","b2_s17_Ctr_Ctr","b3_s17_Ctr_Ctr"
"tr|D3YUR8|D3YUR8_MOUSE","0610007P14Rik","Protein 0610007P14Rik (Fragment) OS=Mus musculus GN=0610007P14Rik PE=4 SV=1",71163.26223,86366.16835,115305.7246,63694.49602,75836.68634,92694.32476,82545.9466,70262.36744,95395.11121,96037.48349,50744.96836,57176.27671,101501.2562,98300.69304,89130.67132,77422.19088,81202.50179,91200.05919,72714.52385,66057.47812,54552.7515,67819.62106,91745.03032,70449.66878,87487.65393,89606.00287,86841.55503,71397.73842,71568.47917,73677.37556,58348.31911,60127.07585,94686.94711,86107.08442,96622.7498,66059.38019,83752.28555,77796.66159,128741.6075,65923.28237,74742.13602,102810.5893,71050.6531,62100.48437,56947.97492,97150.39726,105727.8467,57623.53485,78304.01586,78304.01586,78304.01586,16791.36,11037.95306,9844.510363
"tr|Q9D937|Q9D937_MOUSE","1810009A15Rik","MCG127334 OS=Mus musculus GN=1810009A15Rik PE=2 SV=1",31884.028,25854.15203,35665.23219,22009.77838,30786.08516,30138.04553,19728.58907,22343.1172,30260.49527,30278.76281,24212.99362,24703.54125,35416.34919,28722.29971,35902.85936,29089.98079,31523.50891,23734.77297,22857.34751,23907.68057,35702.31592,37157.61483,20566.05247,20326.75163,29078.16753,25298.81183,25121.22567,21634.85072,29082.20098,30083.04882,26375.45719,28975.92036,41694.25273,31576.64426,29076.03405,26642.7461,32624.95379,26949.31637,26592.95828,24610.66538,34344.92049,30745.78743,33507.79364,30775.57865,31520.56267,38700.66966,31108.32151,25146.03728,25933.32256,25933.32256,25933.32256,6429.980514,4525.024866,8013.114732
"tr|F7B0R9|F7B0R9_MOUSE","2010300C02Rik","Protein 2010300C02Rik (Fragment) OS=Mus musculus GN=2010300C02Rik PE=1 SV=1",32056.56826,34373.48781,21864.96549,38637.4133,29628.37777,21626.87581,29569.31268,20361.04258,26659.50471,32406.02906,27016.65381,48661.40971,23360.45828,28933.40521,31850.63256,21420.84303,26763.91259,28515.08039,25726.68361,42653.29924,24758.75879,27217.45446,26604.7877,23639.75123,30313.17578,33272.24801,32147.70447,32417.3688,23890.32589,33151.31621,35625.15702,52606.85525,41319.154,27525.42327,23988.0533,28153.49614,26344.16045,31929.65549,29883.80371,70174.9124,23199.67777,34050.84254,24097.1744,31591.54774,30372.85827,30632.38933,29522.71899,37678.23559,32281.65087,32281.65087,32281.65087,14870.48786,12408.29434,23591.53043
"tr|E9Q3M9|E9Q3M9_MOUSE","2010300C02Rik","Protein 2010300C02Rik OS=Mus musculus GN=2010300C02Rik PE=1 SV=1",3208063.333,3151462.881,2241077.223,3388269.394,4019772.332,2229612.164,2936641.694,1906824.458,2600287.039,4007963.296,3694163.044,4545946.982,2839550.504,3742354.35,2672655.633,2099144.475,2083567.205,2649946.089,2810610.593,4394812.068,2311949.717,3467474.327,3230881.73,2488588.71,2643775.439,4002918.152,2684530.036,2795788.839,3106962.532,3844103.649,2791263.577,4889413.066,4333417.902,2951273.207,2206907.051,2326621.121,2901127.949,2343953.506,2436383.919,6700570.242,3277328.681,3332495.502,2668710.207,2327771.575,3345624.793,3081816.967,2358876.78,3366315.089,3323841.481,3323841.481,3323841.481,1301811.487,839590.4455,1688919.719
"tr|Q9CPN9|Q9CPN9_MOUSE","2210010C04Rik","Protein 2210010C04Rik OS=Mus musculus GN=2210010C04Rik PE=2 SV=1",247663.379,155735.88,262798.3742,190772.5289,225543.8037,205104.469,245798.3339,216715.9938,211864.5781,241071.2604,202382.4305,287855.692,234208.5796,121573.9317,203114.9835,240749.5556,235751.896,192682.7109,223823.4504,229100.0261,228808.8645,243883.3628,149260.9453,304176.6163,197773.3211,189425.2152,221844.0457,265101.9918,261278.0128,183537.8803,304350.946,194154.2427,251802.9588,262549.3935,127358.8744,339161.8412,224662.8322,140968.1845,150520.5434,229535.9494,222187.2339,246448.9239,279556.5613,223231.0356,247578.6053,229354.353,173791.5427,253037.7312,221757.0961,221757.0961,221757.0961,139664.9,418308.2149,639429.4868
"tr|Q3TE80|Q3TE80_MOUSE","2410002F23Rik","Protein 2410002F23Rik OS=Mus musculus GN=2410002F23Rik PE=2 SV=1",51323.89834,49821.39437,77735.83219,45818.6979,51105.14541,52218.79146,45237.97032,48502.41384,56086.14261,50678.11296,49358.78202,41599.06394,47785.42893,52572.40526,43033.05191,61803.84206,56273.72137,49765.03405,44269.79155,44034.2746,49509.67168,55401.32339,49538.64313,45680.70772,44417.10543,44267.55624,54541.25987,41577.78417,51655.89269,44939.72387,45582.23495,44114.45877,57739.98344,52208.64553,50309.41308,43160.64162,48540.40109,51220.56809,50304.18613,41808.43719,51750.21425,44789.59683,44675.28608,40459.09505,49577.48499,51740.79128,43514.73438,41557.18067,51716.31543,51716.31543,51716.31543,40571.64445,86008.41776,105998.3533
"tr|D3Z3S8|D3Z3S8_MOUSE","2900011O08Rik","Protein 2900011O08Rik (Fragment) OS=Mus musculus GN=2900011O08Rik PE=4 SV=1",125480.4342,187115.3375,149591.3925,136122.1432,125044.8485,149469.1903,158496.8308,129182.9216,152086.0466,148027.8202,152294.8913,107914.5148,120577.9356,183587.9872,162905.593,134185.5974,138852.6876,187109.0326,152250.3384,125536.7271,116772.767,132140.2862,144852.0633,141437.4987,125599.0521,168710.3786,187184.1886,135409.983,133138.6658,155093.2747,143415.1839,118920.9959,105808.3641,147577.6546,152254.9531,160587.1826,134419.7272,224128.3009,180541.196,113507.6409,131185.9152,153146.6519,167014.7316,142260.8692,143569.9346,153252.0709,173571.5189,125071.376,146791.5512,146791.5512,146791.5512,16722.78332,12517.72997,16103.64207
"tr|D3YWS4|D3YWS4_MOUSE","2900011O08Rik","Protein 2900011O08Rik OS=Mus musculus GN=2900011O08Rik PE=4 SV=1",28132.338,40273.99832,31720.33326,33782.68803,24757.8135,33383.90044,43372.06062,30988.24318,33591.14114,33677.79212,34126.09636,23301.74034,27949.45231,42919.32737,35784.21881,49520.44736,35793.02807,44119.97222,41865.31809,31951.9205,28052.62407,33553.44309,33006.77805,32616.80513,31894.07577,40407.1111,37893.58408,32788.50184,31424.05561,35728.30619,39652.70786,27004.93027,23312.66047,34474.6277,40414.41926,39651.88633,31956.64099,49147.91831,38697.15245,26462.05312,32052.32602,34016.20703,47339.12304,32700.17968,36052.42767,35876.45584,41948.20405,30766.73038,34025.13416,34025.13416,34025.13416,2130.543679,2987.497332,6134.860776
"tr|A2ANZ2|A2ANZ2_MOUSE","3110043O21Rik","MCG141727, isoform CRA_b OS=Mus musculus GN=3110043O21Rik PE=4 SV=1",1729931.351,1596352.72,1490232.683,1284783.975,1670328.962,1525741.874,1508821.99,1678505.897,1635287.691,1175135.059,1397169.435,1624175.591,1823902.955,1497951.736,1636379.038,1343480.275,1547621.45,1391726.414,1233851.999,1355108.423,1581947.64,1546255.488,1500337.542,1288995.88,1596100.121,1461941.522,1547858.355,1443169.971,1782186.426,1476213.927,1368470.729,1298580.133,1740834.134,1680061.629,1697920.997,1459319.826,1327215.055,1593483.016,1555842.717,1264171.847,1510105.274,1625944.648,1143965.234,1356200.027,1283647.846,1636758.599,1450807.815,1258318.271,1447147.781,1447147.781,1447147.781,133418.4476,122651.4413,167320.0181
"tr|Q3U3D8|Q3U3D8_MOUSE","3110043O21Rik","MCG141727, isoform CRA_a OS=Mus musculus GN=3110043O21Rik PE=2 SV=1",1895914.408,1636505.35,1587792.402,1415519.44,1884438.692,1675127.506,1623768.534,1834471.162,1729169.897,1288050.479,1527925.977,1759841.078,2038925.275,1572192.901,1659592.997,1478589.558,1687590.404,1408149.748,1329509.623,1492212.572,1668190.817,1739627.16,1662853.615,1397479.239,1777290.795,1473351.961,1647608.067,1556974.378,1951316.463,1562441.97,1492339.951,1439251.561,1905255.974,1773151.775,1836850.489,1563407.237,1472758.498,1615753.56,1582845.891,1376893.651,1605011.781,1715842.595,1229601.755,1487116.51,1399487.347,1758633.845,1482072.2,1383101.069,1578879.93,1578879.93,1578879.93,150254.2939,135373.3178,192663.4786
