"ProteinAccession","GN","ProteinDescription","Ctr_Avg","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s4_M_6","b2_s15_M_6","b3_s1_M_6","b3_s15_M_6","b1_s9_M_12","b1_s16_M_12","b2_s14_M_12","b3_s9_M_12","b1_s11_M_18","b2_s3_M_18","b2_s9_M_18","b3_s5_M_18","b1_s15_M_24","b2_s5_M_24","b3_s3_M_24","b3_s6_M_24","b1_s1_M_30","b1_s2_M_30","b2_s13_M_30","b3_s7_M_30","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3","b1_s5_F_6","b2_s11_F_6","b3_s10_F_6","b3_s13_F_6","b1_s6_F_12","b1_s8_F_12","b2_s6_F_12","b3_s4_F_12","b1_s14_F_18","b2_s1_F_18","b2_s4_F_18","b3_s8_F_18","b1_s3_F_24","b2_s12_F_24","b3_s2_F_24","b3_s11_F_24","b1_s7_F_30","b1_s10_F_30","b2_s8_F_30","b3_s12_F_30","b1_s18_IR_IR","b2_s18_IR_IR","b3_s18_IR_IR","b1_s18_IR_IR < 0","b2_s18_IR_IR < 0","b3_s18_IR_IR < 0","b123_Neg"
"D3YUR8","0610007P14Rik","Protein 0610007P14Rik (Fragment) OS=Mus musculus GN=0610007P14Rik PE=4 SV=1",12557.941141,58605.321089,73808.227209,102747.783459,51136.554879,63278.745199,80136.383619,69988.005459,57704.426299,82837.170069,83479.542349,38187.027219,44618.335569,88943.315059,85742.751899,76572.730179,64864.249739,68644.560649,78642.118049,60156.582709,53499.536979,41994.810359,55261.679919,79187.089179,57891.727639,74929.712789,77048.061729,74283.613889,58839.797279,59010.538029,61119.434419,45790.377969,47569.134709,82129.005969,73549.143279,84064.808659,53501.439049,71194.344409,65238.720449,116183.666359,53365.341229,62184.194879,90252.648159,58492.711959,49542.543229,44390.033779,84592.456119,93169.905559,45065.593709,65746.074719,65746.074719,65746.074719,0,0,0,0
"Q9D937","1810009A15Rik","MCG127334 OS=Mus musculus GN=1810009A15Rik PE=2 SV=1",6322.706704,25561.321296,19531.445326,29342.525486,15687.071676,24463.378456,23815.338826,13405.882366,16020.410496,23937.788566,23956.056106,17890.286916,18380.834546,29093.642486,22399.593006,29580.152656,22767.274086,25200.802206,17412.066266,16534.640806,17584.973866,29379.609216,30834.908126,14243.345766,14004.044926,22755.460826,18976.105126,18798.518966,15312.144016,22759.494276,23760.342116,20052.750486,22653.213656,35371.546026,25253.937556,22753.327346,20320.039396,26302.247086,20626.609666,20270.251576,18287.958676,28022.213786,24423.080726,27185.086936,24452.871946,25197.855966,32377.962956,24785.614806,18823.330576,19610.615856,19610.615856,19610.615856,0,0,0,0
"F7B0R9","2010300C02Rik","Protein 2010300C02Rik (Fragment) OS=Mus musculus GN=2010300C02Rik PE=1 SV=1",16956.7708766667,15099.7973833333,17416.7169333333,4908.19461333333,21680.6424233333,12671.6068933333,4670.10493333334,12612.5418033333,3404.27170333334,9702.73383333334,15449.2581833333,10059.8829333333,31704.6388333333,6403.68740333333,11976.6343333333,14893.8616833333,4464.07215333333,9807.14171333333,11558.3095133333,8769.91273333333,25696.5283633333,7801.98791333333,10260.6835833333,9648.01682333334,6682.98035333334,13356.4049033333,16315.4771333333,15190.9335933333,15460.5979233333,6933.55501333333,16194.5453333333,18668.3861433333,35650.0843733333,24362.3831233333,10568.6523933333,7031.28242333333,11196.7252633333,9387.38957333333,14972.8846133333,12927.0328333333,53218.1415233333,6242.90689333333,17094.0716633333,7140.40352333333,14634.7768633333,13416.0873933333,13675.6184533333,12565.9481133333,20721.4647133333,15324.8799933333,15324.8799933333,15324.8799933333,0,0,0,0
"E9Q3M9","2010300C02Rik","Protein 2010300C02Rik OS=Mus musculus GN=2010300C02Rik PE=1 SV=1",1276773.88383333,1931289.44916667,1874688.99716667,964303.339166667,2111495.51016667,2742998.44816667,952838.280166666,1659867.81016667,630050.574166667,1323513.15516667,2731189.41216667,2417389.16016667,3269173.09816667,1562776.62016667,2465580.46616667,1395881.74916667,822370.591166667,806793.321166667,1373172.20516667,1533836.70916667,3118038.18416667,1035175.83316667,2190700.44316667,1954107.84616667,1211814.82616667,1367001.55516667,2726144.26816667,1407756.15216667,1519014.95516667,1830188.64816667,2567329.76516667,1514489.69316667,3612639.18216667,3056644.01816667,1674499.32316667,930133.167166667,1049847.23716667,1624354.06516667,1067179.62216667,1159610.03516667,5423796.35816667,2000554.79716667,2055721.61816667,1391936.32316667,1050997.69116667,2068850.90916667,1805043.08316667,1082102.89616667,2089541.20516667,2047067.59716667,2047067.59716667,2047067.59716667,0,0,0,0
"Q9CPN9","2210010C04Rik","Protein 2210010C04Rik OS=Mus musculus GN=2210010C04Rik PE=2 SV=1",399134.200566667,-151470.821566667,-243398.320566667,-136335.826366667,-208361.671666667,-173590.396866667,-194029.731566667,-153335.866666667,-182418.206766667,-187269.622466667,-158062.940166667,-196751.770066667,-111278.508566667,-164925.620966667,-277560.268866667,-196019.217066667,-158384.644966667,-163382.304566667,-206451.489666667,-175310.750166667,-170034.174466667,-170325.336066667,-155250.837766667,-249873.255266667,-94957.5842666667,-201360.879466667,-209708.985366667,-177290.154866667,-134032.208766667,-137856.187766667,-215596.320266667,-94783.2545666667,-204979.957866667,-147331.241766667,-136584.807066667,-271775.326166667,-59972.3593666666,-174471.368366667,-258166.016066667,-248613.657166667,-169598.251166667,-176946.966666667,-152685.276666667,-119577.639266667,-175903.164966667,-151555.595266667,-169779.847566667,-225342.657866667,-146096.469366667,-177377.104466667,-177377.104466667,-177377.104466667,1,1,1,48
"Q3TE80","2410002F23Rik","Protein 2410002F23Rik OS=Mus musculus GN=2410002F23Rik PE=2 SV=1",77526.1385033333,-26202.2401633333,-27704.7441333333,209.693686666666,-31707.4406033333,-26420.9930933333,-25307.3470433333,-32288.1681833333,-29023.7246633333,-21439.9958933333,-26848.0255433333,-28167.3564833333,-35927.0745633333,-29740.7095733333,-24953.7332433333,-34493.0865933333,-15722.2964433333,-21252.4171333333,-27761.1044533333,-33256.3469533333,-33491.8639033333,-28016.4668233333,-22124.8151133333,-27987.4953733333,-31845.4307833333,-33109.0330733333,-33258.5822633333,-22984.8786333333,-35948.3543333333,-25870.2458133333,-32586.4146333333,-31943.9035533333,-33411.6797333333,-19786.1550633333,-25317.4929733333,-27216.7254233333,-34365.4968833333,-28985.7374133333,-26305.5704133333,-27221.9523733333,-35717.7013133333,-25775.9242533333,-32736.5416733333,-32850.8524233333,-37067.0434533333,-27948.6535133333,-25785.3472233333,-34011.4041233333,-35968.9578333333,-25809.8230733333,-25809.8230733333,-25809.8230733333,1,1,1,47
"D3Z3S8","2900011O08Rik","Protein 2900011O08Rik (Fragment) OS=Mus musculus GN=2900011O08Rik PE=4 SV=1",15114.7184533333,110365.715746667,172000.619046667,134476.674046667,121007.424746667,109930.130046667,134354.471846667,143382.112346667,114068.203146667,136971.328146667,132913.101746667,137180.172846667,92799.7963466667,105463.217146667,168473.268746667,147790.874546667,119070.878946667,123737.969146667,171994.314146667,137135.619946667,110422.008646667,101658.048546667,117025.567746667,129737.344846667,126322.780246667,110484.333646667,153595.660146667,172069.470146667,120295.264546667,118023.947346667,139978.556246667,128300.465446667,103806.277446667,90693.6456466667,132462.936146667,137140.234646667,145472.464146667,119305.008746667,209013.582446667,165426.477546667,98392.9224466667,116071.196746667,138031.933446667,151900.013146667,127146.150746667,128455.216146667,138137.352446667,158456.800446667,109956.657546667,131676.832746667,131676.832746667,131676.832746667,0,0,0,0
"D3YWS4","2900011O08Rik","Protein 2900011O08Rik OS=Mus musculus GN=2900011O08Rik PE=4 SV=1",3750.96726233333,24381.3707376667,36523.0310576667,27969.3659976667,30031.7207676667,21006.8462376667,29632.9331776667,39621.0933576667,27237.2759176667,29840.1738776667,29926.8248576667,30375.1290976667,19550.7730776667,24198.4850476667,39168.3601076667,32033.2515476667,45769.4800976667,32042.0608076667,40369.0049576667,38114.3508276667,28200.9532376667,24301.6568076667,29802.4758276667,29255.8107876667,28865.8378676667,28143.1085076667,36656.1438376667,34142.6168176667,29037.5345776667,27673.0883476667,31977.3389276667,35901.7405976667,23253.9630076667,19561.6932076667,30723.6604376667,36663.4519976667,35900.9190676667,28205.6737276667,45396.9510476667,34946.1851876667,22711.0858576667,28301.3587576667,30265.2397676667,43588.1557776667,28949.2124176667,32301.4604076667,32125.4885776667,38197.2367876667,27015.7631176667,30274.1668976667,30274.1668976667,30274.1668976667,0,0,0,0
"A2ANZ2","3110043O21Rik","MCG141727, isoform CRA_b OS=Mus musculus GN=3110043O21Rik PE=4 SV=1",141129.969,1588801.382,1455222.751,1349102.714,1143654.006,1529198.993,1384611.905,1367692.021,1537375.928,1494157.722,1034005.09,1256039.466,1483045.622,1682772.986,1356821.767,1495249.069,1202350.306,1406491.481,1250596.445,1092722.03,1213978.454,1440817.671,1405125.519,1359207.573,1147865.911,1454970.152,1320811.553,1406728.386,1302040.002,1641056.457,1335083.958,1227340.76,1157450.164,1599704.165,1538931.66,1556791.028,1318189.857,1186085.086,1452353.047,1414712.748,1123041.878,1368975.305,1484814.679,1002835.265,1215070.058,1142517.877,1495628.63,1309677.846,1117188.302,1306017.812,1306017.812,1306017.812,0,0,0,0
"Q3U3D8","3110043O21Rik","MCG141727, isoform CRA_a OS=Mus musculus GN=3110043O21Rik PE=2 SV=1",159430.363433333,1736484.04456667,1477074.98656667,1428362.03856667,1256089.07656667,1725008.32856667,1515697.14256667,1464338.17056667,1675040.79856667,1569739.53356667,1128620.11556667,1368495.61356667,1600410.71456667,1879494.91156667,1412762.53756667,1500162.63356667,1319159.19456667,1528160.04056667,1248719.38456667,1170079.25956667,1332782.20856667,1508760.45356667,1580196.79656667,1503423.25156667,1238048.87556667,1617860.43156667,1313921.59756667,1488177.70356667,1397544.01456667,1791886.09956667,1403011.60656667,1332909.58756667,1279821.19756667,1745825.61056667,1613721.41156667,1677420.12556667,1403976.87356667,1313328.13456667,1456323.19656667,1423415.52756667,1217463.28756667,1445581.41756667,1556412.23156667,1070171.39156667,1327686.14656667,1240056.98356667,1599203.48156667,1322641.83656667,1223670.70556667,1419449.56656667,1419449.56656667,1419449.56656667,0,0,0,0
