,GN,Description,b1_s13_M_3,b2_s2_M_3,b2_s10_M_3,b3_s16_M_3,b1_s4_M_6,b2_s15_M_6,b3_s1_M_6,b3_s15_M_6,b1_s9_M_12,b1_s16_M_12,b2_s14_M_12,b3_s9_M_12,b1_s11_M_18,b2_s3_M_18,b2_s9_M_18,b3_s5_M_18,b1_s15_M_24,b2_s5_M_24,b3_s3_M_24,b3_s6_M_24,b1_s1_M_30,b1_s2_M_30,b2_s13_M_30,b3_s7_M_30,b1_s12_F_3,b2_s7_F_3,b2_s16_F_3,b3_s14_F_3,b1_s5_F_6,b2_s11_F_6,b3_s10_F_6,b3_s13_F_6,b1_s6_F_12,b1_s8_F_12,b2_s6_F_12,b3_s4_F_12,b1_s14_F_18,b2_s1_F_18,b2_s4_F_18,b3_s8_F_18,b1_s3_F_24,b2_s12_F_24,b3_s2_F_24,b3_s11_F_24,b1_s7_F_30,b1_s10_F_30,b2_s8_F_30,b3_s12_F_30,p-value(F_30/F_3),FDR(F_30/F_3),Log2Fold(F_30/F_3),p-value(M_30/M_3),FDR(M_30/M_3),Log2Fold(M_30/M_3)
Q922Q1,Marc2,Mitochondrial amidoxime reducing component 2 OS=Mus musculus GN=Marc2 PE=1 SV=1,16.71645493,16.89687184,17.46455936,16.72787937,17.45740389,17.08629166,16.90179587,16.98897304,17.35147504,17.22929279,17.07937697,16.53459398,17.2552582,17.3852686,17.19459324,17.29733439,17.60246496,17.26237973,17.18861502,16.96113732,17.52813038,17.59501081,16.99486333,17.10517201,17.02590118,16.77950572,17.02514155,16.73278732,17.13698097,16.87800528,16.51108541,16.58071472,16.93850925,17.26443366,17.05775358,16.71933098,17.23914666,16.87719009,17.07452374,16.59625102,17.46094372,17.0258014,17.07286605,16.95135949,17.61363331,17.33879969,17.16306319,16.84743699,0.073620879,0.654192275,0.349899354,0.070175038,0.426852838,0.354352756
P42208,Sept2,Septin-2 OS=Mus musculus GN=Sept2 PE=1 SV=2,14.37272328,14.23614945,14.1644949,14.08574009,13.74667166,13.77750448,14.01967178,13.69916064,13.81468134,14.16601985,13.58519978,13.64970401,13.84644929,13.97917994,14.08213546,14.05313656,14.34517426,14.0630456,13.93379525,14.05141783,14.1668775,13.68840139,14.10510593,13.69460033,14.03301312,13.95652722,14.11306075,14.01758267,14.04382777,13.90975173,13.90596821,13.79122524,14.34090041,14.56298994,13.91916391,13.63780599,14.19340661,13.80102335,14.05388736,13.8782416,13.69430278,14.08302378,13.56511504,13.94925481,14.08326363,13.92172043,14.24312319,14.06039853,0.751165603,0.946204339,0.047080505,0.048066943,0.378527173,-0.301030646
Q9Z1S5,Sept3,Neuronal-specific septin-3 OS=Mus musculus GN=Sept3 PE=1 SV=2,17.13725379,17.52244702,17.4098232,17.06220833,17.24502073,17.36219332,17.4804122,17.04632559,17.59789638,16.96717341,17.10048482,17.07261384,17.15100756,17.04512747,17.02889188,17.67024987,17.43854568,16.91884349,17.08405214,16.77004412,17.19385403,17.06226046,17.16382049,17.33537926,17.10640289,17.29008292,17.31576844,17.16198722,17.46402132,17.06949484,16.94487569,17.05871936,17.13774805,17.47425282,17.24435001,16.93043984,17.12869582,17.12022602,17.20739158,17.12572695,17.11787016,16.91889632,16.77571216,17.04945247,17.22333675,17.19500687,16.97930016,17.23954947,0.689307271,0.937276611,-0.059262055,0.52618776,0.805762932,-0.094104529
P28661,Sept4,Septin-4 OS=Mus musculus GN=Sept4 PE=1 SV=1,16.49882943,16.41670057,16.61862734,16.28096599,16.26304543,16.42854919,16.43480221,16.22097322,16.54319606,16.11248713,16.11069487,16.47134435,16.43449288,16.17680255,16.42216122,16.551172,16.37405708,16.14837331,16.13960487,16.13412557,16.53364641,16.22808074,16.32709852,16.50345574,16.3983526,16.27330036,16.22372637,16.29800767,16.36518744,16.23163588,16.01833539,16.18606421,16.50995797,16.57247008,16.54074684,16.0695526,16.34334784,16.13613618,16.18325818,16.32501438,16.17241132,16.27695766,16.15024584,16.18542791,16.45473446,16.45431552,16.45438816,16.35026047,0.234270015,0.812225172,0.130077901,0.607729308,0.853704474,-0.05571048
Q9Z2Q6,Sept5,Septin-5 OS=Mus musculus GN=Sept5 PE=1 SV=2,18.44633513,18.84965559,18.72549511,18.3894762,18.33670555,18.56514779,18.62335972,18.36908055,18.53204233,18.26693595,18.34446107,18.35594737,18.44699945,18.30589523,18.17913385,18.88281564,18.53839214,18.12616546,18.35857624,18.05053722,18.38729292,18.25200759,18.22406017,18.59346678,18.43645029,18.56469254,18.59288548,18.41120105,18.48143528,18.2696445,18.17519352,18.35581684,18.37210384,18.62956928,18.47399077,18.04414244,18.38923335,18.26993542,18.5246731,18.36877492,18.2509409,18.13006076,18.0622334,18.3544651,18.37525829,18.25180243,18.21808423,18.4606812,0.186974299,0.78116719,-0.174850804,0.074586123,0.432338699,-0.238533642
Q9R1T4,Sept6,Septin-6 OS=Mus musculus GN=Sept6 PE=1 SV=4,16.8090102,17.01989824,16.88522172,16.64303221,16.63124462,16.81799057,17.02204433,16.63441513,16.91763428,16.46925434,16.63734194,16.70694291,16.79662381,16.61413362,16.51486368,17.20270838,16.91795054,16.41089556,16.65375931,16.45742179,16.60158348,16.37283373,16.66125906,16.89730288,16.86484466,16.76121921,16.7677698,16.7498959,16.73840747,16.6709555,16.61402011,16.68174637,16.74334644,16.95122219,16.82067247,16.46897489,16.76510785,16.5802794,16.76492209,16.76854563,16.49320076,16.46628114,16.42893324,16.71962723,16.60861494,16.63905324,16.53377387,16.907124,0.389887447,0.879890344,-0.113790878,0.123533929,0.510714342,-0.206045806
O55131,Sept7,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,18.76350759,19.04449049,18.96029924,18.65940053,18.60581909,18.84448527,18.9023973,18.57226413,18.91862295,18.51256637,18.5997254,18.54955758,18.78781239,18.57228166,18.506951,19.0952156,18.89283502,18.43825743,18.54074596,18.21758997,18.68495709,18.45334641,18.60890965,18.88941081,18.83260039,18.81700355,18.84378582,18.62421343,18.73624787,18.56193104,18.40810236,18.52893932,18.60506094,18.89297411,18.73318706,18.25814879,18.69769461,18.67588293,18.7283971,18.59313356,18.48778573,18.50658252,18.34456032,18.54340794,18.65207349,18.58385551,18.49365445,18.70801844,0.20786522,0.792308184,-0.170000326,0.144324788,0.528812724,-0.197768468
Q8CHH9,Sept8,Septin-8 OS=Mus musculus GN=Sept8 PE=1 SV=4,17.75834624,17.9730969,17.8747762,17.58090095,17.83487721,17.85583158,17.94350982,17.69852864,18.10219327,17.37217459,17.61348201,17.62778726,17.91709968,17.49111181,17.41855189,18.27781098,18.05816654,17.18202324,17.59643155,17.27352759,17.78020195,17.65968937,17.61630933,17.93573252,17.91450774,17.70262216,17.73386008,17.67160948,17.9567332,17.50427895,17.46090763,17.58500421,17.77570071,18.12273532,17.84684193,17.31357601,17.78456172,17.46454118,17.6181789,17.59769026,17.72987378,17.46101987,17.31162923,17.64242054,17.80583958,17.7418929,17.51175094,17.84638339,0.86762727,0.973051711,-0.029183162,0.780551671,0.918668322,-0.04879678
Q80UG5,Sept8,Septin-9 OS=Mus musculus GN=Sept9 PE=1 SV=1,15.11455578,15.08392033,14.96750851,15.10548526,14.99639961,14.94600613,15.11835472,14.88001205,15.08723807,14.94487281,14.84618388,15.04229974,15.04544724,14.9103679,14.81830016,15.36072681,15.26031401,14.70462423,15.01637302,14.96400536,15.34128176,15.01149864,14.84983327,15.23613311,14.99839747,14.89807255,14.91289493,15.0272057,15.01948389,14.92586014,14.93587916,15.09718145,15.01961829,15.17339514,14.92050885,14.86060456,15.10630441,14.87571382,14.8901396,15.19102563,14.83471109,14.73385632,14.86393189,15.16063542,15.09512362,15.00263394,14.99064446,15.33299154,0.218361468,0.802959105,0.146205723,0.722343531,0.899293456,0.041819225
Q8C1B7,Sept9,Septin-11 OS=Mus musculus GN=Sept11 PE=1 SV=4,17.30835865,17.61888561,17.46085809,17.23240258,17.43385635,17.38462225,17.5577682,17.2218819,17.56355251,16.92269005,17.15518374,17.22890762,17.37484596,17.14370404,17.10233573,17.78704287,17.53548612,16.97130495,17.171784,16.95656964,17.33457155,17.206969,17.19970719,17.45341625,17.40398397,17.33665173,17.32945256,17.34844169,17.52793869,17.2213163,17.15371311,17.19592625,17.35476131,17.55767924,17.35731135,17.0252769,17.29537081,17.18196237,17.33252403,17.328876,17.32196574,17.01273755,16.93774763,17.24544389,17.24460176,17.27798158,17.11214826,17.47019292,0.577216099,0.905193495,-0.078401358,0.449853027,0.754613507,-0.106460235
