ProteinAccession,GN,ProteinDescription,b1_s13_M_3,b2_s2_M_3,b2_s10_M_3,b3_s16_M_3,b1_s4_M_6,b2_s15_M_6,b3_s1_M_6,b3_s15_M_6,b1_s9_M_12,b1_s16_M_12,b2_s14_M_12,b3_s9_M_12,b1_s11_M_18,b2_s3_M_18,b2_s9_M_18,b3_s5_M_18,b1_s15_M_24,b2_s5_M_24,b3_s3_M_24,b3_s6_M_24,b1_s1_M_30,b1_s2_M_30,b2_s13_M_30,b3_s7_M_30,b1_s12_F_3,b2_s7_F_3,b2_s16_F_3,b3_s14_F_3,b1_s5_F_6,b2_s11_F_6,b3_s10_F_6,b3_s13_F_6,b1_s6_F_12,b1_s8_F_12,b2_s6_F_12,b3_s4_F_12,b1_s14_F_18,b2_s1_F_18,b2_s4_F_18,b3_s8_F_18,b1_s3_F_24,b2_s12_F_24,b3_s2_F_24,b3_s11_F_24,b1_s7_F_30,b1_s10_F_30,b2_s8_F_30,b3_s12_F_30
Q922Q1,Marc2,Mitochondrial amidoxime reducing component 2 OS=Mus musculus GN=Marc2 PE=1 SV=1,107684.7873,122029.6198,180865.7061,108540.9092,179970.8699,139150.9911,122446.8274,130073.9957,167230.1022,153650.4849,138485.6502,94931.15294,156440.8983,171193.5241,149998.9882,161070.6818,199007.7321,157215.0421,149378.7097,127588.371,189013.5817,197982.1467,130606.1523,140984.0087,133446.4295,112495.3402,133376.1835,108910.7868,144126.9871,120444.1905,93396.79444,98014.98564,125602.8127,157439.0241,136425.4786,107899.6739,154703.5371,120376.1528,138020.5674,99076.20704,180412.9928,133437.2008,137862.0693,126726.5679,200554.2918,165767.2736,146756.3283,117919.0263
P42208,Sept2,Septin-2 OS=Mus musculus GN=Sept2 PE=1 SV=2,21213.91511,19297.80915,18362.75496,17387.22521,13745.49897,14042.42507,16608.93305,13300.20297,14408.98751,18382.17485,12290.02119,12851.98885,14729.79048,16149.25438,17343.83673,16998.69724,20812.66743,17115.85331,15649.13452,16978.4581,18393.1059,13201.38236,17622.19395,13258.22782,16763.23679,15897.66455,17719.6287,16584.89978,16889.36854,15390.49199,15350.18278,14176.61268,20751.10304,24204.53803,15491.22821,12746.43329,18734.45781,14273.22126,17007.54588,15057.99011,13255.49369,17354.51926,12120.10893,15817.72842,17357.40475,15518.70372,19391.31731,17084.47782
Q9Z1S5,Sept3,Neuronal-specific septin-3 OS=Mus musculus GN=Sept3 PE=1 SV=2,144154.2448,188270.4457,174132.1665,136847.3842,155334.7116,168477.1392,182864.082,135349.0834,198378.531,128123.3065,140526.7072,137837.9702,145535.0944,135236.7256,133723.3505,208581.238,177633.687,123902.3042,138935.152,111759.9786,149922.1504,136852.3289,146833.3842,165374.7279,141104.3448,160263.1178,163141.9685,146646.9177,180798.2667,137540.2968,126158.3083,136516.8361,144203.6389,182085.0338,155262.5121,124902.2416,143301.6625,142462.8288,151335.5686,143007.0703,142230.3835,123906.8417,112199.9233,135642.7551,153017.4593,150041.9999,129204.8012,154746.7381
P28661,Sept4,Septin-4 OS=Mus musculus GN=Sept4 PE=1 SV=1,92606.73035,87482.12065,100624.8664,79626.77405,78643.80095,88203.55535,88586.68245,76383.49025,95498.87095,70850.33873,70762.37617,90859.16015,88567.69055,74080.31185,87813.87055,96028.29875,84934.14755,72634.80065,72194.67805,71921.00535,94868.82205,76760.72615,82214.11695,92904.17055,86376.58135,79204.80645,76529.39475,80572.93405,84413.57695,76950.11585,66374.22031,74557.41425,93323.83475,97456.45185,95336.88305,68772.90182,83145.34325,72021.30795,74412.54205,82095.43485,73855.17115,79405.84905,72729.13725,74524.53835,89819.08845,89793.00965,89797.53085,83544.68755
Q9Z2Q6,Sept5,Septin-5 OS=Mus musculus GN=Sept5 PE=1 SV=2,357190.7346,472402.0142,433446.7118,343387.0726,331053.6595,387852.2883,403821.9257,338566.6987,379053.5977,315424.6648,332838.1007,335498.6342,357355.2483,324058.6086,296800.4699,483385.8254,380725.6238,286101.0882,336110.5348,271489.5644,342867.8053,312177.6208,306188.4151,395540.7436,354751.7547,387729.92,395381.4012,348597.1014,365987.6094,316017.4062,295990.9453,335468.2802,339276.9377,405563.777,364103.9247,270288.8444,343329.275,316081.1372,377122.3438,338494.9825,311946.8898,286874.6105,273699.5243,335154.1109,340019.5775,312133.23,304922.7429,360760.334
Q9R1T4,Sept6,Septin-6 OS=Mus musculus GN=Sept6 PE=1 SV=4,114819.6632,132892.3233,121048.1683,102341.5317,101508.754,115536.6117,133090.1553,101732.0775,123798.4979,90727.62897,101938.6721,106977.132,113838.0883,100311.9265,93641.71137,150845.1073,123825.6393,87130.82337,103105.3247,89986.55187,99443.08837,84862.15697,103642.7058,122066.0841,119350.4646,111078.4333,111583.9341,110210.0222,109335.8857,104341.641,100304.0344,105125.0072,109710.8317,126714.5079,115751.5889,90710.05697,111378.2377,97985.41517,111363.8982,111643.956,92246.12977,90540.84417,88227.03857,107921.8326,99928.94057,102059.6616,94877.20367,122899.8817
O55131,Sept7,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,445019.0564,540708.1161,510057.1003,414037.1038,398941.8889,470712.0541,489991.5339,389770.1619,495533.4606,373970.8699,397260.3831,383683.6021,452579.7135,389774.8977,372518.101,560057.5682,486754.5789,355196.3986,381347.3004,304818.2946,421436.8944,358930.8527,399797.4251,485600.6458,466850.2694,461830.3781,470483.8975,404060.9566,436689.3651,386988.4662,347849.1716,378239.1879,398732.2962,486801.5089,435763.8704,313509.316,425174.2222,418794.4873,434319.4682,395449.3952,367602.1624,372422.9676,332860.9994,382051.5894,411939.6549,392914.3981,369100.5717,428227.6549
Q8CHH9,Sept8,Septin-8 OS=Mus musculus GN=Sept8 PE=1 SV=4,221714.9056,257300.8861,240349.8204,196055.2766,233793.8096,237214.3208,252077.8484,212710.0449,281386.4387,169646.7882,200533.2591,202531.5664,247505.2638,184225.3171,175188.9053,317811.3184,272929.0701,148697.7451,198177.2117,158434.5647,225099.2852,207060.0022,200926.6393,250722.5993,247060.9958,213314.4477,217983.6012,208777.8994,254398.9524,185914.3941,180408.4807,196613.6848,224398.0655,285421.6642,235740.7978,162894.2343,225780.5563,180863.4276,201187.1866,198350.1911,217382.1237,180422.5165,162674.5721,204596.3011,229135.2003,219200.7034,186879.7775,235665.8822
Q80UG5,Sept9,Septin-9 OS=Mus musculus GN=Sept9 PE=1 SV=1,35476.00128,34730.61494,32038.26738,35253.65604,32686.32619,31564.29985,35569.54067,30152.96082,34810.57604,31539.51408,29454.16176,33742.97934,33816.67612,30794.13332,28890.35203,42076.49208,39247.52358,26701.33452,33141.99946,31960.56649,41513.17806,33030.21276,29528.76243,38595.18125,32731.62194,30532.80587,30848.11955,33391.78751,33213.54025,31126.59481,31343.51077,35051.32714,33216.63467,36952.77636,31011.35302,29750.05188,35273.67848,30063.25957,30365.37563,37407.12911,29220.86136,27247.87906,29818.74439,36627.39363,35001.36627,32827.87935,32556.19458,41275.31315
Q8C1B7,Sept11,Septin-11 OS=Mus musculus GN=Sept11 PE=1 SV=4,162306.2075,201285.7631,180402.2852,153982.0415,177057.2447,171116.8435,192936.7174,152863.2307,193711.8262,124233.0971,145956.9862,153609.4687,169961.2058,144800.1966,140707.112,226169.1876,189979.7494,128490.7472,147646.1284,127185.0557,165282.1673,151291.2471,150531.6353,179474.1144,173428.7996,165520.6549,164696.7497,166878.8612,188988.4698,152803.3132,145808.2787,150137.6465,167611.4645,192924.8206,167907.9887,133388.6974,160851.6055,148691.4713,165047.7598,164630.9439,163844.2756,132234.3583,125536.5232,155380.2804,155289.6083,158924.4507,141667.3979,181573.3465
D3YUR8,0610007P14Rik,Protein 0610007P14Rik (Fragment) OS=Mus musculus GN=0610007P14Rik PE=4 SV=1,58605.32109,73808.22721,102747.7835,51136.55488,63278.7452,80136.38362,69988.00546,57704.4263,82837.17007,83479.54235,38187.02722,44618.33557,88943.31506,85742.7519,76572.73018,64864.24974,68644.56065,78642.11805,60156.58271,53499.53698,41994.81036,55261.67992,79187.08918,57891.72764,74929.71279,77048.06173,74283.61389,58839.79728,59010.53803,61119.43442,45790.37797,47569.13471,82129.00597,73549.14328,84064.80866,53501.43905,71194.34441,65238.72045,116183.6664,53365.34123,62184.19488,90252.64816,58492.71196,49542.54323,44390.03378,84592.45612,93169.90556,45065.59371
Q9D937,1810009A15Rik,MCG127334 OS=Mus musculus GN=1810009A15Rik PE=2 SV=1,25561.3213,19531.44533,29342.52549,15687.07168,24463.37846,23815.33883,13405.88237,16020.4105,23937.78857,23956.05611,17890.28692,18380.83455,29093.64249,22399.59301,29580.15266,22767.27409,25200.80221,17412.06627,16534.64081,17584.97387,29379.60922,30834.90813,14243.34577,14004.04493,22755.46083,18976.10513,18798.51897,15312.14402,22759.49428,23760.34212,20052.75049,22653.21366,35371.54603,25253.93756,22753.32735,20320.0394,26302.24709,20626.60967,20270.25158,18287.95868,28022.21379,24423.08073,27185.08694,24452.87195,25197.85597,32377.96296,24785.61481,18823.33058
