"GN","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3"
"Syp",NA,NA,NA,NA,NA,NA,NA,NA
"SV2a",NA,NA,NA,NA,NA,NA,NA,NA
"Vamp2",NA,NA,NA,NA,NA,NA,NA,NA
"Atp6v0a1",0.992564460632334,1,1,0.992634435602877,1,0.891585936333083,1,1
"SYT1",NA,NA,NA,NA,NA,NA,NA,NA
"dlg4",0.447571534799034,0.526243758660775,0.525089842945547,0.467057807675079,0.481182442299152,0.435185380525716,0.501220993591472,0.464263062236605
"GRIA3",NA,NA,NA,NA,NA,NA,NA,NA
"GRIA2",NA,NA,NA,NA,NA,NA,NA,NA
"ANKS1B",NA,NA,NA,NA,NA,NA,NA,NA
"Homer1",NA,NA,NA,NA,NA,NA,NA,NA
"Actb",1,0.980196730607202,0.960023943070986,1,0.947224323918902,1,0.945739486132178,0.910594421882764
"Map2",NA,NA,NA,NA,NA,NA,NA,NA
"Mapt",NA,NA,NA,NA,NA,NA,NA,NA
"Nefm",NA,NA,NA,NA,NA,NA,NA,NA
"Sptan1",NA,NA,NA,NA,NA,NA,NA,NA
"Tubb3",NA,NA,NA,NA,NA,NA,NA,NA
"SCARB2",NA,NA,NA,NA,NA,NA,NA,NA
"LAMP1",NA,NA,NA,NA,NA,NA,NA,NA
"LAMP2",NA,NA,NA,NA,NA,NA,NA,NA
"ACP2",0.151233466711812,0.269843717134525,0.273295795795692,0.213002552392133,0.246585615301053,0.215619548881032,0.293837064124348,0.165055925818023
"CTSD",0.244027444875269,0.339202039053076,0.404860183007835,0.308986562423473,0.312913973903917,0.31265562130482,0.375101033976588,0.258966677325211
"EEA1",0.0417385948203939,0.120159053609366,0.115271535540543,0.111375905004473,0.0749789705318427,0.117394661918846,0.0847255112556163,0.0534410718186567
"RUFY2",NA,NA,NA,NA,NA,NA,NA,NA
"RUFY1",NA,NA,NA,NA,NA,NA,NA,NA
"DNAJC13",0.667110955740949,0.71214392754818,0.75184859084805,0.703686064459497,0.715004680068478,0.651627633062515,0.757091336545311,0.706454743562826
"SNX2",NA,NA,NA,NA,NA,NA,NA,NA
"Plin2",NA,NA,NA,NA,NA,NA,NA,NA
"Lss",NA,NA,NA,NA,NA,NA,NA,NA
"Acsl3",0.208555229861045,0.232584901193792,0.253050398353899,0.199966731523406,0.215091456498027,0.172124422692167,0.197724256267388,0.179070469449233
"faf2",0.169766827336543,0.227891299309254,0.329183770795826,0.219993461810091,0.21892166264917,0.204883606891396,0.251455115677672,0.174914248817581
"lpcat1",NA,NA,NA,NA,NA,NA,NA,NA
"Hsp90b1",NA,NA,NA,NA,NA,NA,NA,NA
"P4HB",NA,NA,NA,NA,NA,NA,NA,NA
"Calr",0.45261320532273,0.537709156773029,0.648717728223738,0.582675959226794,0.607026996664147,0.534377776448715,0.640204001230179,0.518061503671565
"Atp2a2",0.488053356449092,0.56351589305213,0.605614909055645,0.579743688710832,0.587112895029282,0.4695032648852,0.567391050569427,0.553601772070164
"Rtn1",NA,NA,NA,NA,NA,NA,NA,NA
"Sec63",NA,NA,NA,NA,NA,NA,NA,NA
"LMAN1",NA,NA,NA,NA,NA,NA,NA,NA
"tfg",NA,NA,NA,NA,NA,NA,NA,NA
"sec22b",NA,NA,NA,NA,NA,NA,NA,NA
"yif1b",NA,NA,NA,NA,NA,NA,NA,NA
"Tmem115",NA,NA,NA,NA,NA,NA,NA,NA
"yipf4",NA,NA,NA,NA,NA,NA,NA,NA
"Galnt2",NA,NA,NA,NA,NA,NA,NA,NA
"Acbd3",0.0094944890202004,0.047398593827038,0,0,0,0.0126624788360284,0,0
"man1a2",NA,NA,NA,NA,NA,NA,NA,NA
"SLC3A2",NA,NA,NA,NA,NA,NA,NA,NA
"BASP1",0.212712148829302,0.354102361049139,0.387400641787737,0.323340189158557,0.258247521586718,0.354149094205287,0.332937667059971,0.291253277805741
"ATP1A1",0.872419447324389,0.917343976208325,0.93084250375145,0.918640016129747,0.915050732699583,0.819718808106296,0.927791512447298,0.928979454467756
"L1CAM",NA,NA,NA,NA,NA,NA,NA,NA
"CD44",NA,NA,NA,NA,NA,NA,NA,NA
"vdac1",NA,NA,NA,NA,NA,NA,NA,NA
"PHB",NA,NA,NA,NA,NA,NA,NA,NA
"Hspd1",NA,NA,NA,NA,NA,NA,NA,NA
"IMMT",NA,NA,NA,NA,NA,NA,NA,NA
"ACO2",0,0,0.414914259655822,0.0443744238777343,0.0519767843597552,0,0.0103165181910439,0.0307825573902409
"ABCD3 (PMP70)",NA,NA,NA,NA,NA,NA,NA,NA
"PEX12",NA,NA,NA,NA,NA,NA,NA,NA
"PEX3",NA,NA,NA,NA,NA,NA,NA,NA
"CAT",NA,NA,NA,NA,NA,NA,NA,NA
"ACOT8",NA,NA,NA,NA,NA,NA,NA,NA
