"GN","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3"
"Syp",NA,NA,NA,NA,NA,NA,NA,NA
"SV2a",NA,NA,NA,NA,NA,NA,NA,NA
"Vamp2",NA,NA,NA,NA,NA,NA,NA,NA
"Atp6v0a1",8394246.458,8187770.139,6597920.642,7291676.539,9007393.637,6929466.805,7357489.398,8158020.895
"SYT1",NA,NA,NA,NA,NA,NA,NA,NA
"dlg4",344742.3972,392359.5122,317089.856,312174.4181,358300.552,312145.8155,325285.1335,351748.5538
"GRIA3",NA,NA,NA,NA,NA,NA,NA,NA
"GRIA2",NA,NA,NA,NA,NA,NA,NA,NA
"ANKS1B",NA,NA,NA,NA,NA,NA,NA,NA
"Homer1",NA,NA,NA,NA,NA,NA,NA,NA
"Actb",8767950.101,7211250.749,5110273.544,7620876.467,6488602.602,14471447.12,5240610.022,4827588.09
"Map2",NA,NA,NA,NA,NA,NA,NA,NA
"Mapt",NA,NA,NA,NA,NA,NA,NA,NA
"Nefm",NA,NA,NA,NA,NA,NA,NA,NA
"Sptan1",NA,NA,NA,NA,NA,NA,NA,NA
"Tubb3",NA,NA,NA,NA,NA,NA,NA,NA
"SCARB2",NA,NA,NA,NA,NA,NA,NA,NA
"LAMP1",NA,NA,NA,NA,NA,NA,NA,NA
"LAMP2",NA,NA,NA,NA,NA,NA,NA,NA
"ACP2",60757.10189,75783.03786,63426.21603,68064.44454,83376.20416,70251.76484,88940.63989,60769.81384
"CTSD",104633.1234,118234.7759,147047.1715,121012.8125,125912.957,135801.7257,147835.1195,105444.5585
"EEA1",31991.68168,29018.7034,23101.24225,37009.87922,28698.21741,36049.7526,24057.18541,31566.89348
"RUFY2",NA,NA,NA,NA,NA,NA,NA,NA
"RUFY1",NA,NA,NA,NA,NA,NA,NA,NA
"DNAJC13",1247421.029,1292539.283,1350841.95,1289733.849,1532364.65,1357824.081,1611001.904,1457035
"SNX2",NA,NA,NA,NA,NA,NA,NA,NA
"Plin2",NA,NA,NA,NA,NA,NA,NA,NA
"Lss",NA,NA,NA,NA,NA,NA,NA,NA
"Acsl3",85001.43282,59676.13359,55727.93421,62947.61497,68554.43496,52281.78004,48764.06922,65978.83977
"faf2",67724.65011,57906.63114,90656.51292,70977.77029,70205.92208,65311.1206,68235.35123,64389.0974
"lpcat1",NA,NA,NA,NA,NA,NA,NA,NA
"Hsp90b1",NA,NA,NA,NA,NA,NA,NA,NA
"P4HB",NA,NA,NA,NA,NA,NA,NA,NA
"Calr",355075.689,422296.0523,698780.2075,624351.6449,783280.3461,612303.2092,775677.5481,482325.6414
"Atp2a2",437000.8781,498301.98,530516.1291,613471.7724,692096.4921,394087.1901,491986.4281,594177.9205
"Rtn1",NA,NA,NA,NA,NA,NA,NA,NA
"Sec63",NA,NA,NA,NA,NA,NA,NA,NA
"LMAN1",NA,NA,NA,NA,NA,NA,NA,NA
"tfg",NA,NA,NA,NA,NA,NA,NA,NA
"sec22b",NA,NA,NA,NA,NA,NA,NA,NA
"yif1b",NA,NA,NA,NA,NA,NA,NA,NA
"Tmem115",NA,NA,NA,NA,NA,NA,NA,NA
"yipf4",NA,NA,NA,NA,NA,NA,NA,NA
"Galnt2",NA,NA,NA,NA,NA,NA,NA,NA
"Acbd3",26485.40295,18198.23725,11057.88579,18981.52689,18008.50099,17699.10785,14163.39663,23069.30916
"man1a2",NA,NA,NA,NA,NA,NA,NA,NA
"SLC3A2",NA,NA,NA,NA,NA,NA,NA,NA
"BASP1",87096.68771,130090.2778,131520.5498,131887.4636,89643.54491,180014.4871,113574.3788,127440.7139
"ATP1A1",4152668.729,4818993.564,4240764.988,4679183.375,5312644.333,4253025.482,4684281.691,5377561.503
"L1CAM",NA,NA,NA,NA,NA,NA,NA,NA
"CD44",NA,NA,NA,NA,NA,NA,NA,NA
"vdac1",NA,NA,NA,NA,NA,NA,NA,NA
"PHB",NA,NA,NA,NA,NA,NA,NA,NA
"Hspd1",NA,NA,NA,NA,NA,NA,NA,NA
"IMMT",NA,NA,NA,NA,NA,NA,NA,NA
"ACO2",25052.56334,13428.18151,156806.5239,24766.6729,24875.35139,16240.45358,15107.1508,27636.65536
"ABCD3 (PMP70)",NA,NA,NA,NA,NA,NA,NA,NA
"PEX12",NA,NA,NA,NA,NA,NA,NA,NA
"PEX3",NA,NA,NA,NA,NA,NA,NA,NA
"CAT",NA,NA,NA,NA,NA,NA,NA,NA
"ACOT8",NA,NA,NA,NA,NA,NA,NA,NA
