ProteinAccession,GN,ProteinDescription,b1_s1_M_30,b1_s2_M_30,b1_s3_F_24,b1_s4_M_6,b1_s5_F_6,b1_s6_F_12,b1_s7_F_30,b1_s8_F_12,b1_s9_M_12,b1_s10_F_30,b1_s11_M_18,b1_s12_F_3,b1_s13_M_3,b1_s14_F_18,b1_s15_M_24,b1_s16_M_12,b1_s17_Ctr_Ctr,b1_s18_IR_IR,b2_s1_F_18,b2_s2_M_3,b2_s3_M_18,b2_s4_F_18,b2_s5_M_24,b2_s6_F_12,b2_s7_F_3,b2_s8_F_30,b2_s9_M_18,b2_s10_M_3,b2_s11_F_6,b2_s12_F_24,b2_s13_M_30,b2_s14_M_12,b2_s15_M_6,b2_s16_F_3,b2_s17_Ctr_Ctr,b2_s18_IR_IR,b3_s1_M_6,b3_s2_F_24,b3_s3_M_24,b3_s4_F_12,b3_s5_M_18,b3_s6_M_24,b3_s7_M_30,b3_s8_F_18,b3_s9_M_12,b3_s10_F_6,b3_s11_F_24,b3_s12_F_30,b3_s13_F_6,b3_s14_F_3,b3_s15_M_6,b3_s16_M_3,b3_s17_Ctr_Ctr,b3_s18_IR_IR,representative_isoform
tr|D3YUR8|D3YUR8_MOUSE,0610007P14Rik,Protein 0610007P14Rik (Fragment) OS=Mus musculus GN=0610007P14Rik PE=4 SV=1,54552.7515,67819.62106,74742.13602,75836.68634,71568.47917,94686.94711,56947.97492,86107.08442,95395.11121,97150.39726,101501.2562,87487.65393,71163.26223,83752.28555,81202.50179,96037.48349,16791.36,78304.01586,77796.66159,86366.16835,98300.69304,128741.6075,91200.05919,96622.7498,89606.00287,105727.8467,89130.67132,115305.7246,73677.37556,102810.5893,91745.03032,50744.96836,92694.32476,86841.55503,11037.95306,78304.01586,82545.9466,71050.6531,72714.52385,66059.38019,77422.19088,66057.47812,70449.66878,65923.28237,57176.27671,58348.31911,62100.48437,57623.53485,60127.07585,71397.73842,70262.36744,63694.49602,9844.510363,78304.01586,1
tr|Q9D937|Q9D937_MOUSE,1810009A15Rik,MCG127334 OS=Mus musculus GN=1810009A15Rik PE=2 SV=1,35702.31592,37157.61483,34344.92049,30786.08516,29082.20098,41694.25273,31520.56267,31576.64426,30260.49527,38700.66966,35416.34919,29078.16753,31884.028,32624.95379,31523.50891,30278.76281,6429.980514,25933.32256,26949.31637,25854.15203,28722.29971,26592.95828,23734.77297,29076.03405,25298.81183,31108.32151,35902.85936,35665.23219,30083.04882,30745.78743,20566.05247,24212.99362,30138.04553,25121.22567,4525.024866,25933.32256,19728.58907,33507.79364,22857.34751,26642.7461,29089.98079,23907.68057,20326.75163,24610.66538,24703.54125,26375.45719,30775.57865,25146.03728,28975.92036,21634.85072,22343.1172,22009.77838,8013.114732,25933.32256,1
tr|F7B0R9|F7B0R9_MOUSE,2010300C02Rik,Protein 2010300C02Rik (Fragment) OS=Mus musculus GN=2010300C02Rik PE=1 SV=1,24758.75879,27217.45446,23199.67777,29628.37777,23890.32589,41319.154,30372.85827,27525.42327,26659.50471,30632.38933,23360.45828,30313.17578,32056.56826,26344.16045,26763.91259,32406.02906,14870.48786,32281.65087,31929.65549,34373.48781,28933.40521,29883.80371,28515.08039,23988.0533,33272.24801,29522.71899,31850.63256,21864.96549,33151.31621,34050.84254,26604.7877,27016.65381,21626.87581,32147.70447,12408.29434,32281.65087,29569.31268,24097.1744,25726.68361,28153.49614,21420.84303,42653.29924,23639.75123,70174.9124,48661.40971,35625.15702,31591.54774,37678.23559,52606.85525,32417.3688,20361.04258,38637.4133,23591.53043,32281.65087,0
tr|E9Q3M9|E9Q3M9_MOUSE,2010300C02Rik,Protein 2010300C02Rik OS=Mus musculus GN=2010300C02Rik PE=1 SV=1,2311949.717,3467474.327,3277328.681,4019772.332,3106962.532,4333417.902,3345624.793,2951273.207,2600287.039,3081816.967,2839550.504,2643775.439,3208063.333,2901127.949,2083567.205,4007963.296,1301811.487,3323841.481,2343953.506,3151462.881,3742354.35,2436383.919,2649946.089,2206907.051,4002918.152,2358876.78,2672655.633,2241077.223,3844103.649,3332495.502,3230881.73,3694163.044,2229612.164,2684530.036,839590.4455,3323841.481,2936641.694,2668710.207,2810610.593,2326621.121,2099144.475,4394812.068,2488588.71,6700570.242,4545946.982,2791263.577,2327771.575,3366315.089,4889413.066,2795788.839,1906824.458,3388269.394,1688919.719,3323841.481,1
tr|Q9CPN9|Q9CPN9_MOUSE,2210010C04Rik,Protein 2210010C04Rik OS=Mus musculus GN=2210010C04Rik PE=2 SV=1,228808.8645,243883.3628,222187.2339,225543.8037,261278.0128,251802.9588,247578.6053,262549.3935,211864.5781,229354.353,234208.5796,197773.3211,247663.379,224662.8322,235751.896,241071.2604,139664.9,221757.0961,140968.1845,155735.88,121573.9317,150520.5434,192682.7109,127358.8744,189425.2152,173791.5427,203114.9835,262798.3742,183537.8803,246448.9239,149260.9453,202382.4305,205104.469,221844.0457,418308.2149,221757.0961,245798.3339,279556.5613,223823.4504,339161.8412,240749.5556,229100.0261,304176.6163,229535.9494,287855.692,304350.946,223231.0356,253037.7312,194154.2427,265101.9918,216715.9938,190772.5289,639429.4868,221757.0961,1
tr|Q3TE80|Q3TE80_MOUSE,2410002F23Rik,Protein 2410002F23Rik OS=Mus musculus GN=2410002F23Rik PE=2 SV=1,49509.67168,55401.32339,51750.21425,51105.14541,51655.89269,57739.98344,49577.48499,52208.64553,56086.14261,51740.79128,47785.42893,44417.10543,51323.89834,48540.40109,56273.72137,50678.11296,40571.64445,51716.31543,51220.56809,49821.39437,52572.40526,50304.18613,49765.03405,50309.41308,44267.55624,43514.73438,43033.05191,77735.83219,44939.72387,44789.59683,49538.64313,49358.78202,52218.79146,54541.25987,86008.41776,51716.31543,45237.97032,44675.28608,44269.79155,43160.64162,61803.84206,44034.2746,45680.70772,41808.43719,41599.06394,45582.23495,40459.09505,41557.18067,44114.45877,41577.78417,48502.41384,45818.6979,105998.3533,51716.31543,1
tr|D3Z3S8|D3Z3S8_MOUSE,2900011O08Rik,Protein 2900011O08Rik (Fragment) OS=Mus musculus GN=2900011O08Rik PE=4 SV=1,116772.767,132140.2862,131185.9152,125044.8485,133138.6658,105808.3641,143569.9346,147577.6546,152086.0466,153252.0709,120577.9356,125599.0521,125480.4342,134419.7272,138852.6876,148027.8202,16722.78332,146791.5512,224128.3009,187115.3375,183587.9872,180541.196,187109.0326,152254.9531,168710.3786,173571.5189,162905.593,149591.3925,155093.2747,153146.6519,144852.0633,152294.8913,149469.1903,187184.1886,12517.72997,146791.5512,158496.8308,167014.7316,152250.3384,160587.1826,134185.5974,125536.7271,141437.4987,113507.6409,107914.5148,143415.1839,142260.8692,125071.376,118920.9959,135409.983,129182.9216,136122.1432,16103.64207,146791.5512,1
tr|D3YWS4|D3YWS4_MOUSE,2900011O08Rik,Protein 2900011O08Rik OS=Mus musculus GN=2900011O08Rik PE=4 SV=1,28052.62407,33553.44309,32052.32602,24757.8135,31424.05561,23312.66047,36052.42767,34474.6277,33591.14114,35876.45584,27949.45231,31894.07577,28132.338,31956.64099,35793.02807,33677.79212,2130.543679,34025.13416,49147.91831,40273.99832,42919.32737,38697.15245,44119.97222,40414.41926,40407.1111,41948.20405,35784.21881,31720.33326,35728.30619,34016.20703,33006.77805,34126.09636,33383.90044,37893.58408,2987.497332,34025.13416,43372.06062,47339.12304,41865.31809,39651.88633,49520.44736,31951.9205,32616.80513,26462.05312,23301.74034,39652.70786,32700.17968,30766.73038,27004.93027,32788.50184,30988.24318,33782.68803,6134.860776,34025.13416,0
tr|A2ANZ2|A2ANZ2_MOUSE,3110043O21Rik,"MCG141727, isoform CRA_b OS=Mus musculus GN=3110043O21Rik PE=4 SV=1",1581947.64,1546255.488,1510105.274,1670328.962,1782186.426,1740834.134,1283647.846,1680061.629,1635287.691,1636758.599,1823902.955,1596100.121,1729931.351,1327215.055,1547621.45,1175135.059,133418.4476,1447147.781,1593483.016,1596352.72,1497951.736,1555842.717,1391726.414,1697920.997,1461941.522,1450807.815,1636379.038,1490232.683,1476213.927,1625944.648,1500337.542,1397169.435,1525741.874,1547858.355,122651.4413,1447147.781,1508821.99,1143965.234,1233851.999,1459319.826,1343480.275,1355108.423,1288995.88,1264171.847,1624175.591,1368470.729,1356200.027,1258318.271,1298580.133,1443169.971,1678505.897,1284783.975,167320.0181,1447147.781,0
tr|Q3U3D8|Q3U3D8_MOUSE,3110043O21Rik,"MCG141727, isoform CRA_a OS=Mus musculus GN=3110043O21Rik PE=2 SV=1",1668190.817,1739627.16,1605011.781,1884438.692,1951316.463,1905255.974,1399487.347,1773151.775,1729169.897,1758633.845,2038925.275,1777290.795,1895914.408,1472758.498,1687590.404,1288050.479,150254.2939,1578879.93,1615753.56,1636505.35,1572192.901,1582845.891,1408149.748,1836850.489,1473351.961,1482072.2,1659592.997,1587792.402,1562441.97,1715842.595,1662853.615,1527925.977,1675127.506,1647608.067,135373.3178,1578879.93,1623768.534,1229601.755,1329509.623,1563407.237,1478589.558,1492212.572,1397479.239,1376893.651,1759841.078,1492339.951,1487116.51,1383101.069,1439251.561,1556974.378,1834471.162,1415519.44,192663.4786,1578879.93,1
